Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Results,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 38,813,59.80%,€ 0.05,"1,359",0,0.00%,"1,320","2,608",813,899,66.20%, € -   ,€ 28.01,31.20%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 143,"4,147",17.20%,€ 0.03,"24,144",0,0.00%,"24,144","39,183","4,147","12,024",49.80%, € -   ,€ 5.92,10.60%,€ 0.00,€ 0.01
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 36,765,63.00%,€ 0.05,"1,214",0,0.00%,"1,198","2,343",765,825,68.00%, € -   ,€ 29.41,32.70%,€ 0.02,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 18,"11,884",92.30%,€ 0.00,"12,880",5,0.00%,"11,884","16,373",48,247,1.90%,€ 3.59,€ 1.39,0.30%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 6,"3,920",97.00%,€ 0.00,"4,042",0,0.00%,"3,920","4,651",14,154,3.80%, € -   ,€ 1.41,0.30%,€ 0.00,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 148,"4,387",16.50%,€ 0.03,"26,627",0,0.00%,"26,422","40,300","4,387","13,180",49.50%, € -   ,€ 5.55,10.90%,€ 0.00,€ 0.01
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 35,734,62.70%,€ 0.05,"1,171",0,0.00%,"1,145","2,228",734,802,68.50%, € -   ,€ 29.48,32.90%,€ 0.02,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 19,"12,288",90.00%,€ 0.00,"13,657",3,0.00%,"12,288","16,664",42,267,2.00%,€ 6.39,€ 1.40,0.30%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 6,"3,867",97.90%,€ 0.00,"3,948",0,0.00%,"3,867","4,738",16,139,3.50%, € -   ,€ 1.44,0.30%,€ 0.00,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 17,"11,125",91.10%,€ 0.00,"12,215",7,0.10%,"11,125","14,430",23,183,1.50%,€ 2.36,€ 1.35,0.20%,€ 0.00,€ 0.09
